timestamp,label,path,camera_index,width,height,fps
1772563852.037266,silver,silver/20260303_155052_037_silver_00.jpg,1,640,480,30
1772563852.116517,silver,silver/20260303_155052_116_silver_01.jpg,1,640,480,30
1772563852.119003,silver,silver/20260303_155052_119_silver_02.jpg,1,640,480,30
1772563852.121356,silver,silver/20260303_155052_121_silver_03.jpg,1,640,480,30
1772563852.123290,silver,silver/20260303_155052_123_silver_04.jpg,1,640,480,30
1772563852.125159,silver,silver/20260303_155052_125_silver_05.jpg,1,640,480,30
1772563852.130316,silver,silver/20260303_155052_130_silver_06.jpg,1,640,480,30
1772563852.132760,silver,silver/20260303_155052_132_silver_07.jpg,1,640,480,30
1772563876.422328,silver,silver/20260303_155116_422_silver_00.jpg,1,640,480,30
1772563876.449756,silver,silver/20260303_155116_449_silver_01.jpg,1,640,480,30
1772563876.451761,silver,silver/20260303_155116_451_silver_02.jpg,1,640,480,30
1772563876.453631,silver,silver/20260303_155116_453_silver_03.jpg,1,640,480,30
1772563876.456734,silver,silver/20260303_155116_456_silver_04.jpg,1,640,480,30
1772563876.458476,silver,silver/20260303_155116_458_silver_05.jpg,1,640,480,30
1772563876.460776,silver,silver/20260303_155116_460_silver_06.jpg,1,640,480,30
1772563876.463226,silver,silver/20260303_155116_463_silver_07.jpg,1,640,480,30
1772563876.465429,silver,silver/20260303_155116_465_silver_08.jpg,1,640,480,30
1772563876.469463,silver,silver/20260303_155116_469_silver_09.jpg,1,640,480,30
1772563898.098065,silver,silver/20260303_155138_098_silver_00.jpg,1,640,480,30
1772563898.118162,silver,silver/20260303_155138_118_silver_01.jpg,1,640,480,30
1772563898.121717,silver,silver/20260303_155138_121_silver_02.jpg,1,640,480,30
1772563898.124069,silver,silver/20260303_155138_124_silver_03.jpg,1,640,480,30
1772563898.126406,silver,silver/20260303_155138_126_silver_04.jpg,1,640,480,30
1772563898.129693,silver,silver/20260303_155138_129_silver_05.jpg,1,640,480,30
1772563898.131872,silver,silver/20260303_155138_131_silver_06.jpg,1,640,480,30
1772563898.135125,silver,silver/20260303_155138_135_silver_07.jpg,1,640,480,30
1772563898.138157,silver,silver/20260303_155138_138_silver_08.jpg,1,640,480,30
1772563898.140618,silver,silver/20260303_155138_140_silver_09.jpg,1,640,480,30
1772563949.912086,silver,silver/20260303_155229_912_silver_00.jpg,1,640,480,30
1772563949.915280,silver,silver/20260303_155229_915_silver_01.jpg,1,640,480,30
1772563949.917978,silver,silver/20260303_155229_917_silver_02.jpg,1,640,480,30
1772563949.920318,silver,silver/20260303_155229_920_silver_03.jpg,1,640,480,30
1772563949.938913,silver,silver/20260303_155229_938_silver_04.jpg,1,640,480,30
1772563949.941060,silver,silver/20260303_155229_941_silver_05.jpg,1,640,480,30
1772563949.943924,silver,silver/20260303_155229_943_silver_06.jpg,1,640,480,30
1772563949.946035,silver,silver/20260303_155229_946_silver_07.jpg,1,640,480,30
1772563949.948077,silver,silver/20260303_155229_948_silver_08.jpg,1,640,480,30
1772563949.953756,silver,silver/20260303_155229_953_silver_09.jpg,1,640,480,30
1772563949.957321,silver,silver/20260303_155229_957_silver_10.jpg,1,640,480,30
1772563949.959754,silver,silver/20260303_155229_959_silver_11.jpg,1,640,480,30
1772563949.962264,silver,silver/20260303_155229_962_silver_12.jpg,1,640,480,30
1772563949.964782,silver,silver/20260303_155229_964_silver_13.jpg,1,640,480,30
1772563949.967336,silver,silver/20260303_155229_967_silver_14.jpg,1,640,480,30
1772563949.969911,silver,silver/20260303_155229_969_silver_15.jpg,1,640,480,30
